ngramme	Cliges	Yvain	AlexisP11	ThebesC	AlexisPRI	FillePonth1B1	AlexisP13	BenTroieC_1partial	ChaceP	AlexisOctP	SGeorgDeG	MeraugisF	SGeorgVosL	AigarB	LancJ	PercevalKu	CleomHas	BenTroieC_4partial	ErecF	DancusM	JAvesnesFilleB	JugAmD	OmbreB2	UnicornecW	AlexisPQ
eü
	29	21	0	8	0	0	0	16	0	0	0	9	0	0	28	22	105	0	17	0	0	0	2	0	3
eü 	13	15	0	14	0	7	0	14	0	0	0	3	0	0	16	14	74	3	15	0	0	0	1	0	2
eüa	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
eüc	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
eüe	21	17	0	9	0	8	0	21	0	0	0	15	0	0	18	20	67	2	12	0	0	1	3	0	4
eüf	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
eüi	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0
eüm	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	1	0	0	0	0	0	0
eün	1	0	0	1	0	0	0	0	0	0	0	0	0	0	3	2	1	0	1	0	0	0	0	0	1
eür	37	38	0	41	0	11	0	44	0	0	0	9	0	0	37	35	62	2	28	0	0	0	4	0	1
eüs	103	126	0	213	0	37	0	66	0	0	0	30	0	0	90	129	378	2	59	0	0	3	13	2	4
eüt	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0
eüz	19	1	0	6	0	0	0	13	0	0	0	5	0	0	19	15	1	1	19	0	0	0	0	0	0
eý
	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
eÿe	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0
eÿt	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
f
a	1	2	0	0	1	0	0	0	0	1	0	0	0	0	6	0	1	0	4	0	0	0	0	0	0
f
b	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
f
c	1	1	0	1	1	0	0	1	0	1	0	1	0	0	2	2	4	0	0	0	0	0	1	0	0
f
d	0	2	0	3	1	0	0	1	0	0	0	2	0	0	3	6	2	0	1	0	0	0	0	0	0
f
e	1	3	0	5	0	0	0	0	0	1	0	1	0	0	4	4	5	0	1	0	0	1	0	0	0
f
f	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0
f
h	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
f
i	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
f
j	0	1	0	1	0	0	0	0	0	0	0	0	0	0	3	0	1	0	0	0	0	0	0	0	0
f
k	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
f
l	4	1	0	4	1	0	0	2	0	1	0	2	0	0	2	2	2	0	2	0	0	0	0	0	0
f
m	0	2	0	2	1	0	0	0	0	0	0	1	0	0	1	1	2	0	2	0	0	0	0	0	0
f
n	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	2	1	0	1	0	0	0	0	0	0
f
o	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
f
p	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
f
q	0	1	0	1	0	0	0	1	0	0	0	1	0	0	2	9	5	0	2	1	0	0	1	0	0
f
s	0	0	0	4	2	0	0	0	0	0	0	2	0	0	1	2	4	0	2	0	0	0	1	0	0
f
t	1	0	0	0	2	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0
f
u	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
f
v	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
f
à	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
f a	8	3	1	4	0	5	3	8	5	0	0	5	0	0	5	10	1	0	13	1	1	1	1	0	1
f b	0	0	0	1	0	1	0	2	0	0	0	0	0	0	0	2	2	0	1	0	0	0	0	0	0
f c	0	0	0	0	0	1	1	1	2	0	0	0	0	0	1	4	5	1	2	0	2	2	0	0	2
f d	1	5	1	18	1	8	0	6	1	1	2	4	0	0	7	16	14	0	4	2	16	1	0	0	1
f e	5	2	4	11	2	11	3	7	1	5	1	5	1	0	2	1	8	0	3	6	10	1	1	0	1
f f	0	2	0	2	0	2	0	4	0	0	0	3	0	0	1	1	2	0	1	0	0	2	0	0	1
f g	0	0	0	1	0	1	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0
f h	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
f i	0	1	0	0	1	3	2	0	0	0	0	1	0	0	0	1	0	1	1	0	2	0	0	0	0
f j	1	0	0	0	0	0	0	1	1	0	0	2	0	0	1	2	0	0	1	0	2	0	0	0	0
f k	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
f l	12	2	1	7	1	4	2	2	0	1	0	1	1	0	7	5	5	0	10	1	3	0	0	0	0
f m	0	0	0	1	0	1	0	0	0	0	1	0	0	0	1	3	11	0	0	0	0	0	0	0	3
f n	1	1	0	2	1	1	1	5	0	0	0	5	0	0	0	5	1	0	1	0	1	0	0	0	2
f o	1	0	0	1	0	0	0	3	0	0	0	2	0	0	0	3	8	0	3	0	0	0	0	0	0
f p	0	1	0	8	1	4	0	1	3	0	0	1	0	0	1	0	1	0	3	2	4	0	0	0	0
f q	0	1	0	1	2	2	0	0	1	1	0	0	0	0	3	4	4	0	0	1	2	0	0	0	1
f r	0	1	0	4	0	1	0	0	0	0	0	1	0	0	0	0	3	0	1	1	2	0	0	0	0
f s	1	1	1	5	1	4	0	4	0	0	0	2	0	0	2	3	5	1	2	1	4	1	0	0	0
f t	0	2	0	4	1	1	2	9	1	0	0	1	1	0	1	2	3	0	2	0	0	0	1	0	1
f u	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0
f v	1	1	0	2	0	0	0	6	0	0	0	1	0	0	1	0	5	0	0	0	0	0	0	0	1
f à	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
f ç	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
faa	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
fab	0	4	0	9	0	0	0	1	0	0	0	0	0	0	0	6	1	0	1	0	0	0	0	0	0
fac	42	5	1	58	7	0	6	23	0	11	3	8	8	3	25	34	22	0	29	2	23	0	9	1	5
fad	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
fae	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
fag	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
fai	50	392	22	559	60	204	61	476	35	4	37	13	27	13	62	65	923	35	29	46	199	4	8	12	20
fal	1	5	1	3	2	2	2	0	0	0	0	1	0	3	0	2	2	0	2	1	4	0	0	5	0
fam	27	9	0	3	0	1	1	0	0	4	1	1	0	0	9	23	1	0	38	0	4	0	2	0	3
fan	42	7	7	48	18	6	19	22	0	3	13	2	1	12	47	47	8	3	29	0	7	0	0	0	22
far	0	0	0	9	0	0	0	1	0	2	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0
fas	1	2	0	1	1	0	0	0	4	0	0	0	1	1	0	0	2	0	0	0	0	0	0	0	0
fau	26	24	0	16	8	6	5	14	4	3	2	13	0	1	14	22	72	0	31	67	21	2	3	6	8
fav	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0
fax	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
fay	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
faz	2	0	0	7	0	0	0	12	0	2	0	3	0	1	7	11	7	0	3	0	0	0	3	0	0
faç	4	1	0	5	0	1	0	10	0	0	0	0	0	0	1	1	15	0	1	0	12	0	0	0	0
faé	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
fe
	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	2	0	0	0	0	0
fe 	1	0	0	0	0	0	0	0	2	0	0	0	0	0	1	7	0	0	2	7	0	0	0	0	0
fea	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0
feb	2	3	0	4	0	1	0	1	0	0	0	1	0	0	3	0	1	0	2	0	0	0	0	0	1
fec	0	0	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0
fed	0	0	2	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
fee	0	0	0	1	0	0	0	2	0	0	0	0	0	0	1	0	0	0	2	0	0	1	0	0	0
fei	133	1	6	92	0	0	0	54	0	8	1	0	0	1	139	49	2	2	150	0	4	1	0	0	0
fel	11	21	3	20	2	0	3	10	0	2	1	1	6	2	17	20	7	0	17	1	7	3	2	3	0
fem	0	0	10	35	17	14	14	25	0	10	8	2	3	1	0	0	49	2	0	2	26	0	0	1	1
fen	47	75	0	81	1	4	3	59	2	4	1	18	3	0	25	17	98	5	4	0	15	0	2	0	4
feo	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
fer	80	97	9	188	16	34	17	101	7	14	9	115	15	15	102	224	249	9	96	2	43	6	48	1	23
fes	10	10	4	14	9	14	6	7	1	10	2	10	2	2	9	12	113	0	9	0	12	1	2	1	7
fet	180	15	0	2	1	0	1	0	3	33	0	102	0	5	253	389	0	0	208	1	0	9	71	0	1
feu	9	4	0	0	0	0	0	16	0	0	1	8	5	1	5	9	6	1	4	9	6	0	0	0	0
fev	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	1	1	0	0	0	0	0
fex	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
fey	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
fez	9	0	0	0	0	0	0	0	0	1	0	5	0	0	15	12	1	0	4	0	0	1	2	0	9
feï	19	25	0	21	0	0	0	11	0	0	0	7	0	0	21	33	40	0	10	0	0	0	4	0	3
ff
	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
ffa	0	9	0	0	1	0	1	0	0	2	2	0	0	0	0	0	4	0	18	0	11	0	0	0	2
ffe	2	45	0	1	1	2	1	0	3	10	1	1	2	0	5	2	42	0	0	2	6	1	1	0	3
ffi	0	7	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	16	0	0	0	0
ffl	0	0	0	0	1	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
ffo	0	4	0	0	1	1	1	0	0	0	0	1	0	0	0	0	3	0	0	0	4	0	0	0	0
ffr	1	27	0	6	3	2	2	0	0	1	3	5	0	0	5	0	20	0	0	0	6	0	4	2	2
ffu	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	5	1	0	0	0
ffé	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
fi
	3	2	0	2	3	0	0	0	1	0	0	0	0	0	2	6	3	0	4	0	0	1	0	0	0
fi 	2	1	0	3	0	1	1	5	0	0	0	2	0	0	0	5	2	0	1	0	0	0	0	0	0
fia	19	4	0	11	1	1	0	5	0	0	0	1	1	1	6	7	9	0	16	3	2	0	0	0	0
fic	6	2	0	14	0	0	2	6	0	1	0	0	0	0	6	8	4	0	6	0	10	0	0	0	1
fid	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	3	0	0	0	0
fie	44	36	0	52	6	17	19	43	2	3	3	28	2	1	41	29	94	7	58	5	14	3	0	8	12
fig	1	0	1	0	0	0	1	3	0	0	0	0	0	0	0	1	3	0	0	0	0	0	0	0	1
fii	0	0	0	1	0	0	0	6	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
fil	27	41	31	70	32	69	21	29	0	0	10	6	0	12	71	54	173	1	33	5	71	0	1	5	6
fin	22	27	2	46	17	2	11	43	0	7	5	15	0	0	13	22	100	2	22	0	37	2	5	10	7
fio	0	1	0	0	0	1	0	3	0	0	0	0	0	0	2	0	5	0	0	0	2	0	0	0	0
fir	14	11	2	31	0	2	0	31	0	3	4	7	3	1	9	10	61	5	7	1	35	2	2	0	4
fis	26	49	6	79	25	82	14	73	0	5	11	45	34	1	44	71	235	2	72	5	85	1	10	0	42
fit	5	3	3	10	2	0	3	8	1	2	0	1	0	0	3	3	14	1	1	1	1	0	1	0	2
fiu	0	0	0	0	7	17	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
fix	0	6	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
fiz	2	0	0	45	0	0	0	33	0	21	0	6	0	1	2	0	0	3	27	0	0	0	0	0	0
fiè	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
fié	0	0	0	52	0	0	0	0	0	0	0	0	1	0	0	5	0	0	0	0	0	0	0	0	0
fië	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
fkn	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
fla	11	10	0	15	1	2	3	9	1	1	1	2	0	2	7	10	7	1	6	1	2	0	0	2	0
flc	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
fle	1	3	0	4	0	0	0	1	1	3	0	0	0	0	0	2	5	0	5	5	4	3	1	0	1
fli	0	0	1	0	1	0	1	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
fll	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
flo	12	0	0	63	4	2	2	16	1	1	0	2	0	0	3	7	28	1	4	0	2	17	1	0	1
flu	0	0	0	5	2	0	1	0	0	0	0	0	0	0	2	0	1	4	0	0	0	0	0	0	1
flé	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	2	1	0	0	0	0
fme	0	0	0	2	0	0	0	4	0	0	1	0	0	0	0	0	0	1	0	0	2	1	0	0	0
fn 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0
fna	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
fne	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
fo 	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0
foa	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
foc	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
fod	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
foi	33	28	0	5	13	12	19	3	3	2	3	24	2	0	49	87	83	0	40	3	27	3	7	0	7
fol	38	37	0	65	2	49	5	30	1	11	2	3	2	6	31	40	36	0	31	0	9	5	8	2	1
fon	41	73	7	130	10	8	15	40	2	4	7	26	2	3	34	41	58	5	23	8	14	1	10	9	5
foo	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
for	179	123	14	375	22	40	45	184	7	24	7	120	19	20	180	180	339	17	179	6	92	9	21	3	27
fos	14	1	0	8	0	0	1	4	1	0	1	0	1	5	10	19	4	2	10	1	2	0	2	0	1
fou	1	13	0	35	5	0	0	5	0	1	1	8	0	0	1	1	19	0	1	0	3	1	0	0	4
fox	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
foy	0	17	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	4
foï	8	0	0	9	0	0	0	3	0	0	0	0	0	0	3	6	0	0	3	0	0	0	0	0	0
fra	18	32	4	60	9	8	23	26	3	1	1	7	1	17	25	21	30	4	48	0	10	2	4	2	8
fre	24	25	3	110	8	18	1	68	3	4	1	11	2	4	19	51	43	6	31	0	24	0	5	2	3
fri	8	8	0	34	2	2	4	26	0	0	1	2	1	2	10	12	10	5	9	1	6	0	0	0	5
fro	12	29	0	23	1	9	1	5	5	2	0	9	2	0	14	43	36	0	46	6	4	2	1	5	1
frr	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
fru	1	0	0	1	0	0	0	2	0	2	3	0	3	0	0	2	6	0	7	0	0	0	0	0	0
fry	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
frè	0	0	0	2	1	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2
fré	0	1	0	68	0	0	9	0	1	1	0	0	0	0	0	1	14	0	0	0	2	0	0	0	1
fs
	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
fs 	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
fu
	3	2	0	3	3	0	0	3	0	1	0	12	0	0	7	21	67	0	9	0	0	0	0	1	2
fu 	123	131	0	354	40	106	3	294	0	18	2	89	11	10	120	218	587	19	204	7	104	7	9	6	39
fub	3	2	0	8	2	0	1	3	0	0	0	0	0	2	8	9	0	0	4	0	1	1	0	1	0
fuc	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
fue	10	15	0	8	0	1	1	7	0	2	0	1	0	0	4	11	14	0	9	3	0	2	1	0	0
fug	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
fui	16	37	14	45	15	6	11	7	4	3	0	17	0	3	11	27	30	0	31	1	7	0	1	6	2
ful	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
fum	1	3	0	5	0	0	1	0	7	1	0	0	1	0	3	0	3	0	0	2	0	0	0	2	0
fun	1	1	0	3	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	2	0	0	0	0
fur	42	20	2	56	4	43	0	99	1	4	5	13	4	0	30	52	129	5	49	0	56	9	0	1	9
fus	73	82	5	69	7	17	5	89	4	17	2	39	5	1	93	72	310	13	78	2	49	8	12	2	16
fut	1	0	22	5	4	0	31	4	0	1	15	0	1	1	2	1	5	0	0	3	8	1	0	0	6
fuu	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
fuy	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1
fuz	0	0	0	1	0	0	0	2	0	0	0	0	0	0	2	2	0	1	0	0	0	0	0	0	1
fué	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
fuë	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
fuï	0	0	0	5	0	0	0	0	0	0	0	2	0	2	0	0	6	0	0	0	0	0	1	0	0
fve	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0
fye	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
fz 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0
fès	0	0	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
fèt	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
fé
	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
fé 	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
féa	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
fée	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0
féi	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
fél	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
fém	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
fér	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	11	1	0	0	0	0	0	0	0
fés	0	4	0	0	1	0	1	0	0	0	0	1	0	0	0	4	2	0	0	0	0	0	0	0	0
fév	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
fïe	4	1	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	1	0	0	0	0	0	0
fïl	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
fïn	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
fïs	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
fïé	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
g
a	2	3	0	0	0	0	0	1	0	0	0	1	0	0	3	2	0	0	1	0	0	0	1	0	0
g
b	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
g
c	1	2	0	0	0	0	0	1	1	0	0	1	0	0	1	1	0	0	3	0	0	0	1	0	0
g
d	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	1	1	0	2	0	0	0	1	0	0
g
e	0	2	0	0	0	0	0	0	0	0	0	2	0	0	1	9	1	0	5	0	0	0	0	0	0
g
f	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g
g	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
g
j	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
g
l	3	1	0	0	0	0	0	0	0	0	0	0	0	0	3	0	1	0	3	1	0	0	0	0	0
g
m	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
g
n	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	1	1	0	1	0	0	0	0	0	0
g
o	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0
g
p	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	2	0	0	0	0	0	0
g
q	1	4	0	0	0	0	0	0	1	1	0	4	0	0	4	2	1	0	1	0	0	1	0	0	0
g
s	2	6	0	0	1	0	0	1	0	0	0	0	0	0	1	3	0	0	0	0	0	0	0	0	0
g
t	2	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	4	0	0	0	0	0	0
g
u	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0
g
v	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0
g a	2	2	0	0	0	0	0	2	0	0	0	1	0	1	4	1	4	0	6	2	3	0	0	0	0
g b	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	7	0	1	0	0
g c	1	0	0	1	0	3	0	0	0	0	0	0	0	0	5	1	11	0	4	1	13	0	1	0	0
g d	6	4	0	0	1	2	0	2	0	0	1	2	0	1	7	3	5	0	7	4	7	0	0	0	0
g e	3	2	0	0	0	4	2	2	0	0	0	3	0	1	4	2	4	0	2	1	7	0	0	0	1
g f	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	2	0	0	0	0
g g	2	1	0	0	0	1	0	0	0	0	0	1	0	0	1	1	0	0	0	0	6	0	0	0	0
g h	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	3	0	0	0	0
g i	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	3	0	0	0	0	0
g j	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	3	0	0	0	0
g l	0	1	0	0	0	0	0	1	0	0	1	2	0	0	1	1	4	0	2	5	4	0	1	0	0
g m	2	3	0	0	0	0	0	2	0	0	0	1	0	0	1	2	2	0	2	0	0	1	0	0	0
g n	3	1	0	0	0	1	0	2	0	0	0	1	0	1	1	0	3	0	0	0	4	0	0	0	0
g o	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	1	0	1	0	0	0	0
g p	1	1	0	0	2	0	0	2	0	0	0	1	0	0	2	1	2	0	1	0	11	0	0	0	0
g q	0	4	0	0	1	0	0	3	0	0	0	1	0	0	1	3	5	0	0	1	1	1	0	0	0
g r	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	2	0	0	0	0
g s	1	4	0	0	0	2	0	0	0	1	0	2	0	0	1	0	1	0	1	1	6	0	0	0	0
g t	1	2	1	0	0	0	0	1	0	0	0	2	0	0	1	2	2	0	1	0	10	0	0	0	1
g v	0	0	0	0	0	2	0	1	1	0	0	1	0	0	1	2	2	0	1	0	0	0	0	0	0
g y	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
g à	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0
g ç	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	3	0	0	0	0	0	0
ga
	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	4	0	0	0	0	0	0	1	0
ga 	0	3	0	0	0	2	1	0	0	0	0	0	0	0	0	0	1	0	0	0	3	0	0	0	0
gaa	0	6	0	0	0	2	0	1	1	0	0	1	0	0	3	11	11	0	2	0	0	0	0	0	0
gab	6	1	0	6	0	0	1	1	0	0	0	2	3	1	9	6	0	0	1	0	0	1	1	0	1
gac	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
gad	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0
gae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	3	0	0	0	0	0	0
gag	3	2	0	2	0	1	0	0	0	0	0	3	0	0	0	2	7	0	3	0	2	1	0	0	0
gah	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	1
gai	11	26	0	3	4	4	1	2	1	1	2	0	0	4	6	10	29	0	2	1	4	0	0	3	0
