ngramme	Cliges	Yvain	AlexisP11	ThebesC	AlexisPRI	FillePonth1B1	AlexisP13	BenTroieC_1partial	ChaceP	AlexisOctP	SGeorgDeG	MeraugisF	SGeorgVosL	AigarB	LancJ	PercevalKu	CleomHas	BenTroieC_4partial	ErecF	DancusM	JAvesnesFilleB	JugAmD	OmbreB2	UnicornecW	AlexisPQ
dr	2	2	4	23	9	0	7	18	0	1	2	7	2	2	4	0	50	1	3	0	0	1	0	2	5

du	16	41	0	36	5	2	2	12	5	0	0	6	2	1	11	30	115	1	20	1	3	5	7	1	9

dy	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	3	0	0	0	0	0	0	0	0

dà	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0

dè	0	0	0	7	0	0	0	29	0	0	0	0	0	0	0	0	8	3	0	0	0	0	0	0	0

dé	0	0	0	0	0	1	0	3	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0

dï	4	1	0	0	0	0	0	0	0	0	0	1	0	0	4	2	0	0	1	0	0	0	0	0	0

e 	0	1	39	3	14	0	0	573	0	0	0	0	0	109	0	0	1	62	0	0	1	0	2	5	0

ec	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0

ed	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0

eg	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0

ei	67	0	1	9	0	0	0	4	0	6	0	51	0	1	84	76	0	0	30	6	0	0	0	0	0

el	24	16	1	60	11	5	3	16	2	6	3	15	1	15	20	33	35	2	28	0	1	3	7	9	1

em	3	4	3	10	5	0	0	3	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0

en	88	111	25	265	31	8	19	182	8	30	15	74	19	9	64	97	491	24	30	11	7	8	21	8	27

ep	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0

er	1	1	0	4	0	0	0	7	0	0	0	1	0	4	1	4	36	0	150	0	0	0	1	0	0

es	42	36	3	51	6	9	9	37	3	6	4	33	5	6	52	47	118	8	32	8	3	1	6	3	0

et	779	945	8	1005	103	22	201	14	124	146	48	199	47	0	979	1431	2003	0	663	65	10	35	47	35	48

eu	0	1	3	3	4	0	3	1	1	4	0	1	0	1	0	0	3	0	0	0	2	0	0	0	1

ev	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0

ex	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	1	1	1	0	1	0	1	1	0	0

ez	1	0	0	0	0	0	0	0	0	0	0	0	0	0	3	2	1	0	5	0	0	0	0	0	0

eü	1	0	0	2	0	1	0	2	0	0	0	0	0	0	2	1	5	1	0	0	0	0	2	0	0

fa	4	30	1	23	6	8	3	25	3	1	2	0	2	4	3	3	71	1	1	18	2	0	0	1	0

fe	31	12	1	19	2	2	1	14	1	5	1	24	1	0	62	105	24	0	32	0	0	2	16	1	3

fi	2	7	9	21	12	3	8	18	0	0	2	7	5	0	15	7	42	1	17	0	2	0	0	1	1

fl	0	1	0	2	0	0	0	1	0	0	0	0	0	0	0	0	5	0	1	0	0	1	0	0	0

fn	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0

fo	24	20	2	49	4	6	5	33	0	7	1	24	0	2	30	35	76	2	25	2	8	3	7	0	4

fr	0	1	0	14	3	1	10	10	2	0	0	3	0	5	1	1	7	0	2	1	0	0	0	0	1

fu	17	13	2	13	2	1	1	28	0	4	1	13	0	0	15	22	106	4	21	1	0	1	0	2	4

ga	5	9	0	7	0	0	0	0	0	2	1	5	0	1	7	15	23	0	20	6	0	0	2	0	0

ge	1	3	0	8	3	1	3	7	0	0	6	1	0	0	1	36	10	1	0	4	0	0	2	1	0

gi	1	1	0	0	0	0	0	3	0	1	0	0	0	0	2	2	5	0	3	2	0	0	0	0	0

gn	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0

go	0	0	0	1	0	0	4	0	0	0	0	8	0	0	1	2	0	0	1	1	0	0	0	0	0

gr	15	13	4	67	7	2	2	72	2	2	5	3	2	3	13	17	49	3	29	4	1	0	1	0	0

gu	0	0	0	22	0	2	0	14	0	0	0	3	0	0	0	4	0	0	14	1	0	0	0	0	0

ha	8	9	0	15	0	1	2	22	2	0	3	4	2	0	20	27	27	3	23	1	0	0	4	0	0

he	1	3	0	5	4	0	4	23	0	0	1	3	0	0	1	6	0	0	3	1	2	0	0	0	1

hi	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	3	0	1	0	0	0	0	1	0

ho	1	8	1	11	1	1	1	6	1	3	1	7	1	1	4	3	12	0	3	1	0	0	0	0	1

hu	1	3	0	2	3	0	0	4	0	1	4	4	0	0	5	6	6	0	3	0	1	0	0	0	1

hà	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0

hé	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	14	0	1	0	0	0	0	0	2

i
	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0

i 	21	4	0	8	0	1	1	27	0	1	0	16	0	0	4	40	49	2	10	1	1	0	1	1	0

ia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	2	0

ic	3	3	3	12	4	0	0	22	0	0	0	3	0	0	1	11	12	5	1	2	0	1	1	0	0

id	0	0	0	6	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0

ie	2	2	0	1	0	0	0	2	0	0	0	0	0	0	1	1	2	0	2	1	0	0	0	1	0

ii	2	0	2	7	7	0	3	12	0	4	0	8	0	0	0	13	13	0	0	2	0	0	0	0	0

il	17	25	16	176	35	12	19	21	4	19	12	34	6	0	30	46	57	3	24	11	6	9	35	9	28

im	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0

in	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	2	1	0	0	0	0	1

io	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0

ip	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0

ir	1	0	0	1	1	0	2	5	0	0	0	2	0	0	1	0	9	0	3	0	0	0	1	0	0

is	4	0	0	20	1	1	0	8	0	4	0	4	0	0	3	0	1	1	6	1	0	2	1	0	0

it	0	1	0	2	0	1	0	3	0	0	0	4	0	0	0	1	0	0	1	0	0	0	1	0	0

iv	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0

iç	0	0	0	7	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0

j 	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0

ja	66	52	7	89	10	4	15	120	0	4	3	33	0	4	65	55	32	3	54	1	1	6	8	2	9

je	30	45	0	4	2	1	3	0	2	5	9	35	6	0	41	58	96	0	58	2	3	12	18	0	21

jh	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3

ji	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0

jo	4	6	1	80	10	6	6	32	0	1	0	9	11	0	5	5	20	0	3	7	2	0	0	0	0

ju	8	14	1	42	0	0	0	15	0	0	0	2	1	1	8	20	17	3	19	4	0	0	0	0	1

