Texte A	Texte B	Cosinus	Jaccard
FillePonth1B1	DancusM	 0.8521	 0.4609
FillePonth1B1	JAvesnesFilleB	 0.8432	 0.4803
FillePonth1B1	JugAmD	 0.8024	 0.4392
FillePonth1B1	OmbreB2	 0.8253	 0.5046
FillePonth1B1	UnicornecW	 0.8207	 0.3928
FillePonth1B1	AlexisPQ	 0.8350	 0.4991
AlexisP13	BenTroieC_1partial	 0.8237	 0.4727
AlexisP13	ChaceP	 0.8139	 0.4692
AlexisP13	AlexisOctP	 0.8230	 0.5522
AlexisP13	SGeorgDeG	 0.7768	 0.4651
AlexisP13	MeraugisF	 0.8323	 0.5120
AlexisP13	SGeorgVosL	 0.7987	 0.4796
AlexisP13	AigarB	 0.6953	 0.4608
AlexisP13	LancJ	 0.8230	 0.4808
AlexisP13	PercevalKu	 0.8139	 0.4817
AlexisP13	CleomHas	 0.8271	 0.4436
AlexisP13	BenTroieC_4partial	 0.8093	 0.4821
AlexisP13	ErecF	 0.8388	 0.4986
AlexisP13	DancusM	 0.7782	 0.4872
AlexisP13	JAvesnesFilleB	 0.7519	 0.4698
AlexisP13	JugAmD	 0.8307	 0.4623
AlexisP13	OmbreB2	 0.8026	 0.4976
AlexisP13	UnicornecW	 0.8219	 0.4426
AlexisP13	AlexisPQ	 0.8310	 0.5340
BenTroieC_1partial	ChaceP	 0.7628	 0.3959
BenTroieC_1partial	AlexisOctP	 0.8311	 0.5136
BenTroieC_1partial	SGeorgDeG	 0.8072	 0.3854
BenTroieC_1partial	MeraugisF	 0.8809	 0.6069
BenTroieC_1partial	SGeorgVosL	 0.8055	 0.3921
BenTroieC_1partial	AigarB	 0.7877	 0.3966
BenTroieC_1partial	LancJ	 0.8291	 0.6180
BenTroieC_1partial	PercevalKu	 0.8139	 0.6234
BenTroieC_1partial	CleomHas	 0.8379	 0.5622
BenTroieC_1partial	BenTroieC_4partial	 0.9586	 0.5355
BenTroieC_1partial	ErecF	 0.8472	 0.6433
BenTroieC_1partial	DancusM	 0.7180	 0.4521
BenTroieC_1partial	JAvesnesFilleB	 0.7647	 0.4556
BenTroieC_1partial	JugAmD	 0.8582	 0.4051
BenTroieC_1partial	OmbreB2	 0.8367	 0.4880
BenTroieC_1partial	UnicornecW	 0.8203	 0.3308
BenTroieC_1partial	AlexisPQ	 0.8207	 0.4857
ChaceP	AlexisOctP	 0.8294	 0.5161
ChaceP	SGeorgDeG	 0.7843	 0.4850
ChaceP	MeraugisF	 0.8642	 0.4687
ChaceP	SGeorgVosL	 0.7796	 0.4938
ChaceP	AigarB	 0.6409	 0.4054
ChaceP	LancJ	 0.8574	 0.4284
ChaceP	PercevalKu	 0.8562	 0.4087
ChaceP	CleomHas	 0.8740	 0.3782
ChaceP	BenTroieC_4partial	 0.7591	 0.4694
ChaceP	ErecF	 0.8435	 0.4273
ChaceP	DancusM	 0.8259	 0.5000
ChaceP	JAvesnesFilleB	 0.7666	 0.4186
ChaceP	JugAmD	 0.8249	 0.5301
ChaceP	OmbreB2	 0.8430	 0.5379
ChaceP	UnicornecW	 0.8238	 0.4429
ChaceP	AlexisPQ	 0.8029	 0.4936
AlexisOctP	SGeorgDeG	 0.8006	 0.4962
AlexisOctP	MeraugisF	 0.8951	 0.5671
AlexisOctP	SGeorgVosL	 0.8418	 0.5063
AlexisOctP	AigarB	 0.6576	 0.4440
AlexisOctP	LancJ	 0.8958	 0.5337
AlexisOctP	PercevalKu	 0.8924	 0.5205
AlexisOctP	CleomHas	 0.8512	 0.4697
AlexisOctP	BenTroieC_4partial	 0.7915	 0.5149
