ngramme	BenTroieC_1partial	SGeorgDeG	AlexisPQ	BenTroieC_4partial	Yvain	MeraugisF	ChaceP	DancusM	AlexisOctP	PercevalKu	AlexisP13	Cliges	JugAmD	AlexisP11	JAvesnesFilleB	FillePonth1B1	SGeorgVosL	ThebesC	AigarB	UnicornecW	LancJ	ErecF	CleomHas	AlexisPRI	OmbreB2
ec	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0

ed	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0

eg	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0

ei	4	0	0	0	0	50	0	6	6	76	0	66	0	1	0	0	0	9	1	0	83	30	0	0	0

el	16	3	1	2	16	15	2	0	6	33	3	24	3	1	1	5	0	59	15	9	20	28	34	11	7

em	3	0	0	0	4	0	2	0	0	0	0	3	0	3	0	0	0	10	0	0	0	0	1	5	0

en	175	14	23	24	108	72	8	11	29	97	16	86	8	24	3	8	17	259	8	8	64	30	478	28	21

ep	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0

er	7	0	0	0	1	1	0	0	0	4	0	1	0	0	0	0	0	4	4	0	1	150	36	0	1

es	37	3	0	8	35	33	3	8	6	47	9	40	1	3	3	8	5	50	6	3	52	32	115	6	5

et	14	47	47	0	917	187	120	65	141	1426	191	774	35	8	8	21	45	958	0	33	975	662	1950	101	46

eu	1	0	1	0	1	1	1	0	4	0	3	0	0	3	1	0	0	3	1	0	0	0	3	4	0

ev	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0

ex	1	0	0	1	1	0	1	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1

ez	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	3	5	1	0	0

eü	2	0	0	1	0	0	0	0	0	1	0	1	0	0	0	1	0	2	0	0	2	0	5	0	2

fa	24	2	0	1	28	0	2	18	1	3	2	4	0	1	1	7	2	23	4	1	3	1	71	6	0

fe	14	1	3	0	12	23	1	0	4	105	1	31	2	1	0	2	1	17	0	1	62	32	24	2	15

fi	18	2	1	1	7	7	0	0	0	7	8	2	0	8	2	1	5	21	0	1	15	17	41	11	0

fl	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	1	5	0	0

fn	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0

fo	32	1	4	2	20	23	0	2	7	35	5	24	3	2	8	6	0	46	2	0	30	25	73	4	7

fr	10	0	1	0	1	3	2	1	0	1	10	0	0	0	0	0	0	13	5	0	1	2	7	3	0

fu	28	1	4	4	13	13	0	1	4	22	1	17	1	2	0	1	0	12	0	2	15	21	100	2	0

ga	0	1	0	0	8	4	0	6	2	15	0	5	0	0	0	0	0	7	1	0	7	20	23	0	2

ge	7	6	0	1	3	1	0	4	0	36	3	1	0	0	0	1	0	8	0	1	1	0	9	3	2

gi	3	0	0	0	1	0	0	2	1	2	0	1	0	0	0	0	0	0	0	0	2	3	5	0	0

gn	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0

go	0	0	0	0	0	8	0	1	0	2	4	0	0	0	0	0	0	1	0	0	1	1	0	0	0

gr	70	5	0	3	13	3	2	4	2	17	2	15	0	3	1	2	2	63	3	0	13	29	48	7	1

gu	14	0	0	0	0	3	0	1	0	4	0	0	0	0	0	2	0	22	0	0	0	14	0	0	0

ha	22	3	0	3	9	4	2	1	0	27	2	8	0	0	0	1	2	15	0	0	20	23	27	0	4

he	21	1	1	0	3	3	0	1	0	6	4	1	0	0	1	0	0	4	0	0	0	3	0	4	0

hi	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	3	1	0

ho	6	1	1	0	8	7	1	1	3	3	1	1	0	1	0	1	1	11	1	0	4	3	12	1	0

