ngramme	BenTroieC_1partial	SGeorgDeG	AlexisPQ	BenTroieC_4partial	Yvain	MeraugisF	ChaceP	DancusM	AlexisOctP	PercevalKu	AlexisP13	Cliges	JugAmD	AlexisP11	JAvesnesFilleB	FillePonth1B1	SGeorgVosL	ThebesC	AigarB	UnicornecW	LancJ	ErecF	CleomHas	AlexisPRI	OmbreB2
ail	129	11	2	11	109	69	5	3	10	172	21	136	16	9	34	15	11	228	22	0	143	127	275	10	6
aim	16	0	1	0	30	9	4	0	4	5	6	31	3	2	2	3	1	18	0	0	7	19	32	7	5
ain	315	58	131	34	784	284	24	62	36	684	132	380	34	51	94	90	96	334	8	20	476	575	1445	146	92
aio	1	0	0	0	1	1	0	0	0	3	0	0	0	1	1	1	0	9	0	0	2	2	12	0	0
aiq	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0
air	264	21	13	11	129	0	8	15	1	48	16	55	0	13	35	34	18	234	34	10	47	0	499	34	3
ais	529	16	14	43	594	0	11	58	6	12	139	14	5	52	76	134	20	663	41	26	11	7	1318	117	10
ait	439	19	14	36	318	13	19	23	4	86	67	61	8	24	40	121	8	617	15	14	63	1	586	49	20
aiu	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	11	2	0	0	0	0	0	0
aiv	4	0	0	0	0	1	0	0	0	0	0	0	0	0	1	2	2	8	4	0	0	0	5	0	0
aix	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0
aiz	34	0	0	0	13	0	0	0	0	0	0	2	0	1	0	0	0	64	0	0	2	0	1	0	0
aiç	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0
aiè	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0
aié	3	0	1	1	14	0	1	0	1	5	1	0	0	0	1	0	0	0	0	0	0	0	13	2	0
aiü	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
aja	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0
aje	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0
ajo	14	0	0	0	1	1	0	0	0	4	3	2	0	0	0	1	0	5	4	0	4	8	18	0	0
aju	2	0	0	0	0	1	0	0	0	0	2	0	0	1	0	0	0	1	0	0	0	0	0	5	0
ake	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0
aki	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0
al
	26	0	0	14	20	6	4	2	2	52	0	24	2	0	0	0	0	102	0	2	36	36	46	0	0
al 	129	3	6	8	70	30	5	8	14	145	7	64	3	14	21	7	5	503	27	7	95	84	256	26	9
ala	55	1	12	1	28	20	2	13	7	84	22	64	3	8	15	21	2	37	6	1	49	34	123	15	1
alb	0	0	0	0	1	0	0	0	0	0	0	3	0	1	0	0	0	2	0	0	0	0	0	0	0
alc	12	0	0	0	0	0	0	2	0	6	0	2	0	0	0	0	0	4	6	0	10	0	6	0	0
ald	0	0	0	0	0	1	0	0	0	4	0	0	0	1	13	0	0	0	0	0	5	0	82	0	0
ale	116	9	70	10	111	44	6	3	37	216	70	100	6	38	11	39	14	239	20	6	94	156	308	67	9
alf	0	0	0	0	3	0	0	0	0	0	0	0	0	2	0	0	0	4	1	0	0	0	0	0	0
alg	0	0	0	0	1	0	0	1	0	0	0	0	0	1	3	0	0	0	3	0	0	0	0	0	0
alh	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0
ali	91	3	4	5	111	115	1	2	2	303	10	175	24	4	40	42	0	177	1	6	241	191	140	4	17
alj	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0
all	4	1	8	0	6	0	7	0	10	4	0	2	0	0	24	2	0	3	0	0	0	0	16	4	3
alm	2	0	1	0	1	0	0	0	0	0	2	6	0	7	2	0	0	1	0	0	1	1	0	4	0
alo	32	1	6	2	34	18	5	9	2	62	5	34	4	2	3	12	1	32	0	0	40	46	141	2	6
alp	0	0	6	1	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0
alq	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	3	0	0	0	0	0	0	0
alr	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0
als	0	0	0	0	0	0	0	0	0	1	0	0	0	5	0	0	0	1	6	0	0	1	0	4	0
alt	0	0	0	0	0	0	0	0	0	67	0	84	0	17	0	0	0	0	9	0	60	0	2	1	0
alu	6	0	2	1	20	13	0	3	2	46	3	12	0	1	3	4	1	14	1	0	14	37	82	2	0
alv	0	0	1	0	7	0	0	0	0	15	0	17	0	5	0	0	0	0	1	0	18	0	0	2	0
alx	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
aly	0	0	1	0	0	0	0	0	0	0	0	4	0	0	0	0	0	1	0	0	0	0	0	0	0
alz	0	0	0	0	0	0	0	0	0	63	0	60	0	0	0	0	0	0	0	0	61	0	0	0	0
alç	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0
alè	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0
alé	8	1	4	1	17	6	2	1	2	48	15	17	0	0	1	2	2	7	0	0	12	18	58	8	0
alï	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0
alö	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
alü	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	6	2	0	0	0
am
	1	0	0	0	0	0	0	5	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0
am 	0	0	0	0	0	0	0	16	1	0	1	0	0	0	0	0	0	0	4	0	0	0	1	0	1
ama	65	2	7	8	24	7	0	0	1	65	10	32	0	6	5	4	0	58	2	5	25	41	107	13	3
amb	31	1	9	1	91	6	5	10	2	0	8	0	3	6	8	31	0	51	2	3	2	0	319	27	11
amd	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
ame	152	10	40	12	264	90	4	2	25	291	44	159	8	2	69	198	7	121	8	12	182	205	303	62	48
ami	50	5	23	1	44	42	3	0	8	123	15	83	10	12	2	6	1	101	2	1	52	81	86	18	29
amm	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	2	0	0
amn	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	1	1	0	0	0	0	0	0	0
amo	52	2	16	3	116	42	2	3	19	51	18	133	34	9	24	13	4	52	0	1	56	44	309	16	28
amp	12	0	1	0	14	20	2	5	2	1	0	2	1	0	12	1	1	56	1	0	1	0	13	0	1
ams	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
amu	6	1	0	0	0	4	0	0	0	0	0	3	0	0	0	0	0	0	0	1	3	0	4	0	0
amy	0	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
amè	1	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	2	0	0	1	0	2	0	0
amé	1	0	4	0	7	0	0	0	3	27	1	1	0	0	6	1	0	3	0	0	0	0	26	2	1
amî	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
an
	2	0	0	0	5	6	0	8	0	28	0	4	0	1	3	4	0	17	0	0	16	22	6	2	0
an 	7	0	0	3	6	26	2	52	0	1184	5	713	0	4	46	18	1	29	6	0	905	905	118	3	3
ana	26	0	0	0	10	0	0	3	0	0	3	0	0	1	0	0	1	4	1	1	0	0	14	3	0
anb	0	0	0	0	0	0	0	0	0	148	0	170	0	0	0	4	0	0	1	0	129	154	1	0	0
anc	207	10	8	20	121	52	8	30	17	348	31	253	8	11	57	13	14	223	44	10	369	312	171	22	4
and	78	18	10	2	74	64	12	8	10	453	24	366	8	15	61	54	15	150	15	1	337	402	383	30	11
ane	29	0	9	3	23	4	0	7	1	32	2	9	2	9	2	4	0	43	11	1	13	10	37	4	17
anf	0	0	0	0	0	0	0	10	0	15	0	18	0	0	0	0	0	1	1	0	11	11	0	0	0
ang	38	8	10	2	50	18	5	24	8	124	17	67	2	6	20	12	6	53	5	7	77	81	25	22	7
anh	0	0	0	0	0	0	0	0	0	2	0	7	0	0	0	0	0	0	0	0	3	2	0	0	0
ani	33	2	0	2	12	6	1	10	17	31	4	5	0	0	9	7	1	15	2	1	3	1	80	0	6
anj	3	0	0	0	1	1	0	4	0	10	0	4	0	0	0	0	0	8	1	0	9	7	1	3	0
ank	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
anl	1	0	0	1	3	0	0	0	0	4	0	4	0	0	0	7	0	0	0	0	1	2	3	2	0
anm	0	0	1	0	12	0	0	0	0	18	0	1	0	0	0	1	0	9	0	0	5	11	68	1	1
ann	3	0	0	0	5	0	0	3	0	5	0	0	0	0	1	0	0	0	4	0	4	4	2	0	0
ano	5	0	2	1	9	3	0	4	2	8	6	7	2	2	1	0	0	8	8	0	5	4	41	5	1
anp	0	0	0	0	1	0	0	1	0	35	0	31	0	0	0	1	0	0	7	0	42	42	0	0	0
anq	0	2	0	0	27	0	0	1	9	40	0	32	1	0	0	2	2	0	1	0	47	38	4	3	6
anr	0	0	0	0	5	0	1	17	0	52	0	10	0	0	0	4	0	1	0	0	29	15	7	2	0
ans	27	24	41	3	213	9	15	13	6	141	43	158	8	2	85	82	23	41	79	15	142	153	847	65	11
ant	971	106	231	100	926	513	60	138	118	1590	355	1395	57	112	238	280	52	1436	90	47	1602	1705	2535	241	101
anu	4	0	0	1	34	12	0	0	0	2	6	1	0	1	2	1	0	13	5	1	1	11	100	0	8
anv	0	0	0	0	1	0	0	3	0	62	0	21	0	1	0	0	0	1	0	0	25	51	0	0	0
any	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
anz	233	0	0	33	14	86	2	12	40	290	0	241	2	26	0	0	0	238	0	0	289	309	5	0	18
anç	2	0	0	0	0	1	0	4	0	12	0	20	0	0	5	1	0	6	1	0	20	26	22	0	0
anè	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
ané	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0
aoe	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1
aoi	0	0	0	0	4	1	0	1	0	1	2	0	0	0	0	0	0	0	0	0	1	0	11	0	0
aol	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
aom	15	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
aon	3	0	0	0	2	0	0	3	0	1	1	0	0	0	2	0	0	3	0	0	0	0	0	0	0
aor	15	1	0	0	0	11	0	0	1	11	11	2	0	0	0	1	5	3	1	0	3	2	5	0	0
aou	0	6	1	0	22	2	0	0	0	0	0	2	0	0	1	0	2	0	0	3	0	0	33	5	0
aov	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
ap
	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
ap 	4	1	0	1	4	0	0	0	0	9	0	1	0	0	0	0	0	2	6	0	6	4	2	1	0
apa	40	1	0	6	9	1	1	2	3	27	3	42	0	5	1	21	2	59	0	2	34	47	88	3	1
apd	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
ape	30	0	17	5	54	12	4	4	16	57	3	49	7	11	4	13	3	37	2	1	37	50	130	22	5
aph	1	0	0	1	0	0	0	2	0	0	0	0	0	0	5	0	0	0	0	0	0	0	2	0	0
api	3	0	1	0	5	1	0	0	1	0	19	1	1	0	2	17	0	2	0	0	4	8	5	3	0
apl	5	0	0	1	3	1	0	0	0	3	0	2	0	0	0	0	0	5	1	0	2	2	6	0	0
apn	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
apo	12	0	12	1	17	4	1	0	1	45	18	23	1	9	2	6	9	35	2	0	21	25	50	17	1
app	0	14	0	0	11	0	0	2	0	0	0	0	0	0	5	0	0	0	0	0	0	0	1	1	0
apr	72	2	9	7	70	41	10	40	2	109	15	70	3	4	29	28	2	71	1	3	79	83	142	20	15
aps	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
apt	0	2	1	0	1	0	0	0	0	1	0	1	0	0	1	1	1	0	0	0	0	1	1	5	0
apu	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	1	0	0
apv	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
apè	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	0	0	0	0	0	4	0
apé	0	0	1	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	5	0	0
aqu	1	0	2	0	5	35	0	1	1	4	0	11	0	0	21	4	0	8	1	0	6	2	9	2	1
ar
	4	0	0	0	0	0	0	5	0	2	0	0	0	0	0	4	0	0	48	0	2	0	0	0	0
ar 	424	27	76	26	327	224	43	55	40	335	98	543	25	45	80	85	17	823	23	21	328	351	1456	116	59
ara	13	3	13	5	38	4	0	2	2	12	30	16	3	3	3	2	4	59	4	2	5	22	51	31	1
arb	19	3	0	4	13	3	2	0	0	23	2	8	1	3	2	4	3	31	2	17	3	8	19	3	1
arc	16	2	4	2	14	4	4	4	14	16	2	18	1	4	26	19	0	39	5	2	7	14	147	6	3
ard	107	11	25	9	93	65	5	29	12	126	28	120	5	12	26	14	6	178	5	5	110	106	298	34	12
are	69	2	6	7	17	14	2	3	3	47	8	32	1	12	5	22	2	75	8	2	28	47	55	10	2
arf	9	0	3	0	2	2	1	5	0	9	8	1	0	3	8	0	1	16	0	2	6	5	12	3	1
arg	58	3	8	1	10	13	2	3	3	28	9	41	3	3	7	7	2	69	2	2	16	16	107	10	1
ari	136	5	11	2	30	13	2	9	15	31	29	32	1	12	30	24	1	63	8	5	18	13	163	26	1
arj	11	0	0	0	3	0	0	0	0	2	0	0	0	0	0	0	0	18	1	0	4	14	0	1	0
ark	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
arl	62	4	12	3	43	15	4	0	12	71	17	33	5	9	7	13	5	89	9	0	31	31	212	24	9
arm	69	1	2	16	68	19	0	3	5	160	24	89	2	1	29	23	2	63	11	3	104	114	603	5	4
arn	42	0	6	2	3	3	1	3	4	1	7	4	4	6	2	4	0	35	1	0	2	9	5	11	0
aro	53	2	3	0	73	28	4	2	1	58	18	87	3	0	18	41	3	130	0	0	57	90	143	8	9
arp	3	0	0	2	2	1	0	0	1	1	0	1	0	0	2	0	0	2	0	0	2	6	3	0	0
arq	1	0	1	0	0	0	0	0	0	0	0	1	0	0	4	0	0	1	1	0	0	0	0	0	0
arr	27	4	3	3	32	32	4	12	4	36	2	30	0	1	29	24	0	53	3	0	93	33	200	2	2
ars	23	3	2	1	16	2	3	5	6	9	5	2	0	1	2	3	1	19	23	1	2	10	177	4	0
art	110	11	26	18	110	61	4	16	19	157	25	149	6	13	59	50	9	204	18	7	124	143	471	36	18
aru	3	0	1	0	2	0	0	2	0	9	0	0	1	0	0	0	0	2	0	0	2	1	2	0	0
arv	2	0	0	0	3	0	0	0	0	1	1	1	0	0	1	2	0	5	1	0	2	0	6	0	0
ary	0	1	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0
arz	18	0	0	4	0	2	0	0	1	3	0	22	0	1	0	0	0	39	0	0	10	14	0	0	0
arç	2	0	0	2	1	3	0	0	1	4	0	17	0	0	0	0	0	12	0	0	12	16	8	0	2
arè	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
aré	1	0	3	1	8	0	0	0	1	1	4	0	0	0	1	1	0	3	0	0	0	2	12	10	0
arï	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0
as
	61	10	0	4	36	40	20	4	4	62	0	24	2	0	0	4	8	40	89	2	76	33	54	0	4
as 	224	15	29	16	116	123	32	41	19	233	45	137	9	21	40	34	10	390	60	11	178	179	568	42	26
asa	11	0	1	4	6	0	1	1	0	24	3	18	0	0	0	1	0	2	1	1	17	1	0	3	0
asc	56	10	1	1	30	18	10	5	3	26	5	57	3	3	17	16	0	60	8	6	34	38	264	1	7
ase	10	0	19	1	6	0	1	0	11	39	3	17	0	3	1	1	0	6	2	0	13	0	5	1	1
ash	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
asi	15	1	0	3	1	0	1	2	0	27	3	2	0	2	7	7	0	0	0	1	1	0	0	6	0
ask	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0
asl	4	0	0	1	0	3	0	1	0	181	0	31	0	0	0	0	0	3	0	0	14	18	0	0	0
asm	11	1	1	2	18	1	0	1	2	20	8	26	2	4	3	0	1	41	2	0	19	22	35	6	1
asn	0	0	0	0	0	0	0	1	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
aso	51	1	2	0	2	0	0	1	0	14	1	2	0	0	0	1	1	8	0	1	15	0	1	3	0
asp	4	0	0	2	0	0	0	0	0	2	0	0	0	0	2	1	0	2	0	0	3	4	9	0	0
asq	3	0	0	0	0	3	0	1	0	2	0	1	0	0	0	1	0	2	0	0	6	1	4	2	0
asr	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ass	200	7	3	13	130	96	22	6	21	151	26	142	19	14	48	10	8	228	12	2	160	232	450	23	9
ast	123	2	13	8	115	64	3	5	12	179	16	76	2	4	17	11	3	196	10	4	86	99	333	8	23
asu	0	0	0	1	1	8	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
asv	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
asé	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	2	0	1	0	0	0	1	1	0	0
at
	0	0	0	0	8	0	0	0	0	10	0	0	0	0	1	0	0	2	0	0	6	4	2	0	0
at 	4	0	0	0	4	2	1	11	3	6	0	6	2	53	5	0	1	22	11	0	8	2	6	1	0
ata	40	2	3	11	71	23	2	0	8	106	5	80	9	1	24	15	1	40	9	3	81	81	121	3	8
ate	16	1	6	3	23	7	0	2	4	17	8	15	1	6	6	8	0	73	9	2	21	22	15	6	1
ath	8	0	0	1	0	0	0	0	0	1	0	4	0	0	0	0	0	7	0	0	0	0	0	0	0
ati	17	0	7	2	15	16	2	4	6	30	6	16	1	1	14	4	3	39	5	0	25	17	55	2	1
ato	9	0	4	4	21	10	2	13	4	42	5	29	2	3	4	7	0	24	1	0	18	56	41	8	2
atr	20	0	4	1	33	12	3	1	1	19	2	12	2	2	5	0	0	55	3	0	30	35	79	5	1
att	0	0	0	0	0	0	0	2	0	0	0	0	0	1	1	0	0	0	0	0	1	0	1	0	0
atu	19	0	4	3	19	9	2	13	0	24	3	19	1	1	7	1	0	44	2	0	9	19	56	1	1
atè	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
até	0	0	0	0	3	0	0	0	0	0	1	0	0	0	0	0	0	3	0	0	0	0	2	1	0
atï	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
au
	0	0	0	0	0	0	0	3	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0
au 	6	15	35	1	152	90	24	18	18	243	31	143	10	0	67	52	10	2	5	6	177	107	416	18	19
aua	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0
aub	22	1	2	3	12	6	2	1	0	19	0	6	2	0	4	1	0	48	0	1	8	33	17	1	0
auc	28	1	2	4	18	16	6	70	5	34	3	17	3	0	1	10	0	87	1	4	14	46	73	0	6
aud	14	3	2	2	13	8	4	5	1	16	3	15	1	0	13	2	0	35	2	0	13	27	14	0	2
aue	1	2	1	0	11	0	1	22	0	0	0	0	0	0	1	1	0	0	2	3	0	0	5	0	0
auf	0	0	0	0	4	1	0	5	1	3	1	4	0	0	0	0	0	10	2	0	2	0	3	1	0
aug	5	0	0	0	2	128	0	0	0	6	0	4	0	0	3	2	0	22	1	0	1	2	1	0	1
aui	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	1	2	0	0	0	0	0
auj	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	1	0	0
auk	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
aul	5	15	1	0	8	3	3	0	2	3	0	1	0	0	151	4	0	6	2	0	6	3	5	2	0
aum	37	0	9	4	12	20	0	8	7	18	13	20	2	0	15	10	0	38	3	0	34	42	72	11	5
aun	2	0	0	0	1	1	0	1	0	1	1	1	1	0	0	0	0	2	0	0	11	5	3	0	0
auo	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0
aup	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
auq	28	0	0	1	4	0	1	0	0	4	0	0	1	0	3	0	0	24	5	0	4	6	7	4	1
aur	2	5	1	1	28	0	23	1	0	4	6	0	1	0	0	0	4	0	30	2	1	2	131	14	0
aus	164	1	16	20	113	56	25	40	21	45	43	70	17	0	20	104	14	211	33	10	45	298	620	36	36
aut	219	6	33	18	236	132	24	43	40	275	30	278	26	0	9	78	10	269	11	13	265	304	449	49	30
auu	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0
auv	23	1	6	1	50	17	0	7	1	185	7	27	2	0	2	9	0	21	0	0	56	46	40	5	1
aux	0	8	3	0	10	0	1	0	0	0	0	0	2	0	18	0	0	0	0	0	0	0	0	0	0
auz	14	0	0	2	3	5	0	0	0	27	0	30	0	0	0	0	0	14	1	0	22	57	0	0	0
auç	3	0	0	0	0	0	0	1	0	3	0	0	0	0	0	0	0	1	1	0	1	3	2	0	0
av 	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ava	29	4	4	1	42	40	7	2	4	104	13	35	3	5	9	4	4	140	18	1	81	96	96	6	4
avc	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ave	349	8	19	16	130	45	8	33	54	172	13	81	6	18	23	20	12	322	10	0	97	99	210	7	19
avi	52	0	6	3	24	28	7	0	10	42	6	19	2	5	2	9	0	22	2	0	11	19	192	11	5
avo	30	13	39	0	220	80	14	17	2	306	25	226	10	9	87	110	5	28	1	0	266	215	1129	33	36
avr	136	1	0	5	28	49	0	3	6	123	0	78	3	7	1	5	0	125	0	0	71	55	17	1	15
avu	4	0	0	0	1	5	0	0	1	0	3	7	0	0	0	0	0	0	0	0	3	45	1	4	0
avé	0	0	0	0	50	1	0	1	0	1	2	1	0	0	1	22	1	1	0	0	0	0	18	6	0
avï	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	2	0	0	0	0
awa	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
awi	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ax
	0	0	0	0	2	0	0	0	0	46	0	12	0	0	0	0	0	0	0	0	27	0	0	0	0
ax 	0	0	0	0	19	0	1	0	0	218	0	96	0	0	0	3	0	0	0	0	103	0	0	0	0
axa	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
axi	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
axv	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
ay
	0	2	0	0	3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	4	0	0
ay 	0	13	22	0	11	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	7	0	1
aya	0	0	0	0	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
ayd	0	0	0	0	1	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	3	0	0
aye	0	0	0	0	5	0	0	0	0	0	0	0	0	0	3	1	0	0	0	0	0	0	16	0	0
aym	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ayn	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	9	0	0
ayo	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ayr	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0
ays	0	4	0	0	1	0	0	0	0	0	0	0	2	0	5	0	0	0	0	0	0	0	162	0	0
ayt	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
ayz	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ayé	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
az
	14	0	0	0	0	2	0	0	2	12	0	0	0	0	0	0	0	2	0	0	8	2	0	0	0
az 	18	0	2	2	0	11	0	0	5	37	0	10	2	0	0	0	0	20	0	0	31	15	9	0	6
aza	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
aze	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0
azi	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	11	0	1	1	0	1	0	2	0	0
azo	0	0	0	6	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	2	2	0	0
azu	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	3	0	0	1	3	0	0	0
azé	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
aça	4	0	0	0	0	0	0	0	1	1	1	1	0	0	0	0	0	6	1	0	1	1	6	0	0
aço	15	0	0	0	1	0	0	0	0	3	0	4	0	0	9	1	0	8	0	0	3	2	21	0	0
açu	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	0	0
açé	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
aèl	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
aé
	2	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	2	0	0
aé 	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
aér	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
