Source;Target;Weight;jaccard;Type
Yvain;ThebesC;0.8918;0.5696;Undirected
Yvain;AigarB;0.6782;0.4021;Undirected
Yvain;UnicornecW;0.9009;0.3548;Undirected
Yvain;LancJ;0.9097;0.6395;Undirected
Yvain;ErecF;0.9063;0.6267;Undirected
Yvain;CleomHas;0.9364;0.5975;Undirected
Yvain;AlexisPRI;0.9127;0.5470;Undirected
Yvain;OmbreB2;0.9165;0.5092;Undirected
MeraugisF;ChaceP;0.8642;0.4687;Undirected
MeraugisF;DancusM;0.8210;0.5061;Undirected
MeraugisF;AlexisOctP;0.8951;0.5671;Undirected
MeraugisF;PercevalKu;0.9295;0.6292;Undirected
MeraugisF;AlexisP13;0.8323;0.5120;Undirected
MeraugisF;Cliges;0.9432;0.6598;Undirected
MeraugisF;JugAmD;0.8935;0.4916;Undirected
MeraugisF;AlexisP11;0.8761;0.4809;Undirected
MeraugisF;JAvesnesFilleB;0.8104;0.4860;Undirected
MeraugisF;FillePonth1B1;0.8192;0.5118;Undirected
MeraugisF;SGeorgVosL;0.8340;0.4534;Undirected
MeraugisF;ThebesC;0.9129;0.5841;Undirected
MeraugisF;AigarB;0.7116;0.4305;Undirected
MeraugisF;UnicornecW;0.8669;0.3893;Undirected
MeraugisF;LancJ;0.9418;0.6397;Undirected
MeraugisF;ErecF;0.9282;0.6663;Undirected
MeraugisF;CleomHas;0.9044;0.5428;Undirected
MeraugisF;AlexisPRI;0.8849;0.5565;Undirected
MeraugisF;OmbreB2;0.9245;0.5790;Undirected
ChaceP;DancusM;0.8259;0.5000;Undirected
ChaceP;AlexisOctP;0.8294;0.5161;Undirected
ChaceP;PercevalKu;0.8562;0.4087;Undirected
ChaceP;AlexisP13;0.8139;0.4692;Undirected
ChaceP;Cliges;0.8564;0.4347;Undirected
ChaceP;JugAmD;0.8249;0.5301;Undirected
ChaceP;AlexisP11;0.7658;0.4687;Undirected
ChaceP;JAvesnesFilleB;0.7666;0.4186;Undirected
ChaceP;FillePonth1B1;0.7843;0.4384;Undirected
ChaceP;SGeorgVosL;0.7796;0.4938;Undirected
ChaceP;ThebesC;0.8298;0.3751;Undirected
ChaceP;AigarB;0.6409;0.4054;Undirected
ChaceP;UnicornecW;0.8238;0.4429;Undirected
ChaceP;LancJ;0.8574;0.4284;Undirected
ChaceP;ErecF;0.8435;0.4273;Undirected
ChaceP;CleomHas;0.8740;0.3782;Undirected
ChaceP;AlexisPRI;0.8350;0.4952;Undirected
ChaceP;OmbreB2;0.8430;0.5379;Undirected
DancusM;AlexisOctP;0.8495;0.5237;Undirected
DancusM;PercevalKu;0.8497;0.4771;Undirected
DancusM;AlexisP13;0.7782;0.4872;Undirected
DancusM;Cliges;0.8513;0.4973;Undirected
DancusM;JugAmD;0.7668;0.5034;Undirected
DancusM;AlexisP11;0.7489;0.4836;Undirected
DancusM;JAvesnesFilleB;0.7894;0.4549;Undirected
DancusM;FillePonth1B1;0.8521;0.4609;Undirected
DancusM;SGeorgVosL;0.7772;0.4836;Undirected
DancusM;ThebesC;0.8116;0.4354;Undirected
DancusM;AigarB;0.6170;0.4320;Undirected
DancusM;UnicornecW;0.7981;0.4276;Undirected
DancusM;LancJ;0.8503;0.4836;Undirected
DancusM;ErecF;0.8436;0.4860;Undirected
DancusM;CleomHas;0.8064;0.4279;Undirected
DancusM;AlexisPRI;0.8017;0.5106;Undirected
DancusM;OmbreB2;0.7964;0.5149;Undirected
AlexisOctP;PercevalKu;0.8924;0.5205;Undirected
AlexisOctP;AlexisP13;0.8230;0.5522;Undirected
AlexisOctP;Cliges;0.9082;0.5498;Undirected
AlexisOctP;JugAmD;0.8396;0.5216;Undirected
AlexisOctP;AlexisP11;0.8409;0.5182;Undirected
AlexisOctP;JAvesnesFilleB;0.8193;0.4802;Undirected
AlexisOctP;FillePonth1B1;0.8352;0.4959;Undirected
AlexisOctP;SGeorgVosL;0.8418;0.5063;Undirected
AlexisOctP;ThebesC;0.9051;0.5037;Undirected
AlexisOctP;AigarB;0.6576;0.4440;Undirected
AlexisOctP;UnicornecW;0.8427;0.4328;Undirected
AlexisOctP;LancJ;0.8958;0.5337;Undirected
AlexisOctP;ErecF;0.8867;0.5344;Undirected
AlexisOctP;CleomHas;0.8512;0.4697;Undirected
AlexisOctP;AlexisPRI;0.8521;0.5830;Undirected
AlexisOctP;OmbreB2;0.8930;0.5807;Undirected
PercevalKu;AlexisP13;0.8139;0.4817;Undirected
PercevalKu;Cliges;0.9698;0.7244;Undirected
PercevalKu;JugAmD;0.8576;0.4278;Undirected
PercevalKu;AlexisP11;0.8171;0.4357;Undirected
PercevalKu;JAvesnesFilleB;0.7868;0.4616;Undirected
PercevalKu;FillePonth1B1;0.8081;0.4876;Undirected
PercevalKu;SGeorgVosL;0.8188;0.4046;Undirected
PercevalKu;ThebesC;0.8751;0.6179;Undirected
PercevalKu;AigarB;0.6714;0.4069;Undirected
PercevalKu;UnicornecW;0.8516;0.3375;Undirected
PercevalKu;LancJ;0.9824;0.7269;Undirected
PercevalKu;ErecF;0.9715;0.7068;Undirected
PercevalKu;CleomHas;0.8692;0.5796;Undirected
PercevalKu;AlexisPRI;0.8488;0.5216;Undirected
PercevalKu;OmbreB2;0.8905;0.5103;Undirected
AlexisP13;Cliges;0.8396;0.4969;Undirected
AlexisP13;JugAmD;0.8307;0.4623;Undirected
AlexisP13;AlexisP11;0.8480;0.5106;Undirected
AlexisP13;JAvesnesFilleB;0.7519;0.4698;Undirected
AlexisP13;FillePonth1B1;0.8527;0.5208;Undirected
AlexisP13;SGeorgVosL;0.7987;0.4796;Undirected
AlexisP13;ThebesC;0.8718;0.4716;Undirected
AlexisP13;AigarB;0.6953;0.4608;Undirected
AlexisP13;UnicornecW;0.8219;0.4426;Undirected
AlexisP13;LancJ;0.8230;0.4808;Undirected
AlexisP13;ErecF;0.8388;0.4986;Undirected
AlexisP13;CleomHas;0.8271;0.4436;Undirected
AlexisP13;AlexisPRI;0.8843;0.5980;Undirected
AlexisP13;OmbreB2;0.8026;0.4976;Undirected
Cliges;JugAmD;0.8812;0.4554;Undirected
Cliges;AlexisP11;0.8567;0.4642;Undirected
Cliges;JAvesnesFilleB;0.8055;0.4889;Undirected
Cliges;FillePonth1B1;0.8213;0.5037;Undirected
Cliges;SGeorgVosL;0.8366;0.4256;Undirected
Cliges;ThebesC;0.9078;0.6214;Undirected
Cliges;AigarB;0.7024;0.4284;Undirected
Cliges;UnicornecW;0.8740;0.3638;Undirected
Cliges;LancJ;0.9797;0.7295;Undirected
Cliges;ErecF;0.9732;0.7031;Undirected
Cliges;CleomHas;0.8879;0.5737;Undirected
Cliges;AlexisPRI;0.8754;0.5424;Undirected
Cliges;OmbreB2;0.9020;0.5428;Undirected
JugAmD;AlexisP11;0.8365;0.4968;Undirected
JugAmD;JAvesnesFilleB;0.7898;0.4263;Undirected
JugAmD;FillePonth1B1;0.8024;0.4392;Undirected
JugAmD;SGeorgVosL;0.8085;0.4694;Undirected
JugAmD;ThebesC;0.8961;0.3846;Undirected
JugAmD;AigarB;0.7000;0.4303;Undirected
JugAmD;UnicornecW;0.8430;0.4692;Undirected
JugAmD;LancJ;0.8714;0.4447;Undirected
JugAmD;ErecF;0.8836;0.4439;Undirected
JugAmD;CleomHas;0.8746;0.3645;Undirected
JugAmD;AlexisPRI;0.8566;0.4895;Undirected
JugAmD;OmbreB2;0.8624;0.5670;Undirected
AlexisP11;JAvesnesFilleB;0.7678;0.4288;Undirected
