ngramme	freq-JugAmD	freq-LancJ	freq-AigarB	freq-ChaceP	freq-DancusM	freq-OmbreB2	freq-UnicornecW	freq-PercevalKu	freq-AlexisP13	freq-ErecF	freq-BenTroieC_4partial	freq-MeraugisF	freq-JAvesnesFilleB	freq-Yvain	freq-ThebesC	freq-AlexisPRI	freq-AlexisPQ	freq-CleomHas	freq-SGeorgDeG	freq-AlexisOctP	freq-BenTroieC_1partial	freq-FillePonth1B1	freq-AlexisP11	freq-SGeorgVosL	freq-Cliges
 ha	5	49	1	6	8	4	1	60	4	53	4	39	66	42	92	8	10	138	7	12	79	30	2	4	43
 he	1	19	1	0	1	1	0	28	3	17	4	18	32	17	43	7	6	27	1	2	58	0	8	0	19
 ho	1	51	12	5	5	8	8	53	52	27	9	36	49	89	158	56	21	218	4	19	110	47	39	3	28
 ir	1	22	9	0	0	5	1	43	11	27	3	13	4	20	69	3	2	91	1	2	46	16	0	5	17
 is	3	29	0	2	5	5	3	31	8	35	6	23	11	26	39	12	6	28	0	12	19	5	1	1	19
 ja	2	7	7	1	0	0	0	17	1	68	0	3	22	9	16	4	6	33	0	2	24	6	0	1	7
 jo	4	71	13	9	32	12	0	94	43	115	19	56	66	48	290	35	18	206	1	20	225	180	12	25	103
 ju	7	51	3	3	31	5	0	52	9	47	3	19	21	28	75	3	4	32	1	1	27	18	5	2	34
 la	4	98	48	10	17	12	9	78	24	68	4	47	124	83	161	20	18	202	4	12	100	58	13	3	53
 le	6	91	5	9	8	8	2	137	6	89	5	33	113	49	101	13	20	111	2	14	47	19	6	7	85
 li	4	48	4	5	8	8	0	72	23	73	10	23	12	38	69	20	22	178	3	1	64	73	13	3	30
 lo	3	53	34	7	4	7	4	64	13	61	2	35	47	50	75	21	8	169	4	1	67	33	5	1	68
 ma	11	165	49	6	53	15	14	205	53	170	18	70	170	133	277	44	34	404	18	22	216	119	14	17	186
 me	9	190	15	23	71	38	9	292	48	192	17	120	123	198	477	54	49	493	13	50	290	143	58	9	159
 mi	8	55	13	11	8	18	10	80	18	58	7	36	66	64	132	9	12	103	3	5	94	32	5	8	75
 mo	4	100	17	10	14	20	15	168	35	92	17	70	95	81	243	35	31	257	5	13	107	83	12	16	109
 mu	1	22	3	3	20	3	0	37	4	16	1	14	9	21	65	3	2	29	2	1	28	20	7	17	30
 no	3	47	7	3	11	4	4	70	18	68	10	39	54	38	59	13	18	185	0	7	64	26	8	2	56
 nu	6	80	4	2	7	6	4	91	18	91	3	36	23	83	69	15	9	149	1	7	64	25	5	2	84
 oe	4	5	1	0	5	4	1	9	0	9	0	6	2	10	8	9	0	11	0	0	0	3	0	0	22
 oi	6	9	0	1	53	2	0	11	9	13	0	4	2	18	7	5	2	13	0	7	18	10	2	2	12
 ol	1	6	1	0	3	0	0	8	1	0	0	0	0	2	8	0	0	3	0	0	3	0	1	1	5
 or	9	41	4	1	3	10	2	61	18	41	14	26	18	38	69	14	11	121	3	12	110	18	6	4	44
 os	5	50	14	3	7	4	2	76	5	69	1	19	13	48	105	13	10	67	3	6	31	17	1	5	56
 ot	1	13	0	0	0	1	0	8	2	14	0	1	3	11	36	2	4	43	1	1	16	12	0	0	19
 ou	4	11	0	5	1	3	3	11	2	11	0	21	28	33	11	10	33	84	4	11	6	8	17	0	9
 pa	16	156	51	13	22	10	8	270	80	180	25	58	146	176	293	66	63	475	17	25	223	90	31	13	169
 pe	6	76	47	6	19	16	7	106	31	80	12	39	73	88	210	48	35	299	5	29	146	65	52	17	97
 pi	3	53	1	2	23	11	0	57	18	34	5	19	48	54	80	9	12	99	1	14	38	22	2	4	30
 pl	3	111	8	1	11	12	2	130	35	118	11	44	98	125	251	24	28	247	2	22	148	53	13	8	111
 po	7	167	22	16	36	16	8	220	59	152	16	74	168	131	352	55	41	489	11	23	270	127	67	8	157
 pr	19	233	27	11	66	31	10	246	49	226	32	89	195	203	396	52	30	444	19	26	309	146	29	13	213
 pu	3	31	2	4	14	4	5	63	32	56	7	13	35	35	78	41	30	80	5	5	28	8	4	8	33
 qo	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
 qu	5	93	7	8	8	10	2	78	10	106	3	71	57	112	158	29	15	92	4	20	96	111	33	5	102
 ra	2	43	7	6	12	2	4	50	11	44	7	5	44	27	35	11	8	61	1	0	19	25	3	8	37
 re	12	279	43	10	11	40	4	267	69	304	40	110	284	253	602	74	61	625	14	26	458	128	41	16	334
 ri	4	57	10	0	1	21	2	98	11	76	9	20	19	28	126	10	5	89	2	12	149	6	3	4	61
 ro	8	26	4	2	7	2	1	37	24	51	4	16	33	38	53	27	17	70	1	9	17	21	17	4	27
 ru	1	6	0	0	0	2	0	4	1	9	3	0	9	7	13	3	3	22	1	0	6	1	2	0	1
 sa	10	185	21	15	43	18	7	312	50	156	10	73	116	164	206	50	38	512	6	26	187	132	21	25	171
 se	11	209	26	19	25	29	13	264	73	170	29	111	203	202	486	85	50	350	15	34	386	99	51	19	209
 so	9	104	36	9	16	13	6	149	51	125	23	43	181	112	239	46	49	286	5	22	165	122	35	10	108
 ta	3	66	10	4	3	5	0	53	12	82	7	5	28	49	120	15	7	138	3	6	53	20	10	3	52
 te	5	114	5	17	19	15	6	129	41	65	7	47	72	88	213	37	13	203	6	14	134	51	27	19	80
 ti	2	37	4	6	20	6	3	50	21	32	5	23	39	39	95	11	3	69	3	5	30	109	6	4	41
 to	10	248	30	15	12	6	8	294	81	177	23	132	103	91	434	35	9	182	5	32	229	50	49	22	215
 tr	3	186	12	20	12	21	6	186	44	132	18	70	118	168	328	36	39	421	9	22	299	43	17	6	172
 tu	1	42	11	5	5	2	1	44	2	45	0	22	10	31	89	2	0	14	3	0	38	5	1	4	40
 va	9	88	15	18	11	3	5	164	31	118	10	25	49	74	207	29	7	155	4	8	101	41	8	2	53
 ve	4	157	51	5	12	26	5	232	38	182	22	113	100	174	358	29	32	509	7	32	278	61	17	14	163
 vi	7	82	16	4	28	13	9	163	50	109	19	34	79	88	197	45	23	218	2	21	113	86	20	19	108
 vo	6	230	12	16	23	32	4	254	37	167	10	114	104	144	165	34	41	400	13	15	93	128	34	9	189
 xv	1	0	1	0	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	3
 yv	1	1	0	0	0	1	0	2	0	1	0	2	1	137	0	0	0	5	0	0	0	0	0	0	1
 ça	1	18	1	0	0	0	0	26	0	45	0	14	0	0	28	2	0	4	0	1	9	3	0	0	5
a	53	697	69	45	50	125	37	992	92	705	51	248	27	569	785	101	98	1483	47	98	696	36	66	42	752
a b	1	6	0	1	0	1	0	15	3	8	1	2	11	7	7	2	1	4	0	1	8	9	0	2	1
a c	2	18	1	3	6	1	1	27	5	17	3	8	24	17	30	11	5	46	2	0	23	41	0	2	16
a e	1	3	2	0	0	0	2	9	5	19	0	10	22	13	27	11	10	27	2	1	22	20	0	2	7
a n	1	6	0	0	1	0	0	12	0	5	0	4	1	2	7	3	1	9	0	1	11	7	1	1	7
a p	4	26	1	0	3	0	1	30	14	15	0	5	32	30	45	10	12	39	3	5	36	39	0	2	15
a r	1	11	0	1	0	0	0	11	1	8	1	6	10	9	24	1	4	20	0	0	18	11	0	2	8
a t	1	14	3	2	0	0	0	18	4	11	2	3	17	12	39	3	5	17	1	1	18	13	0	1	13
aal	1	0	0	0	0	1	0	23	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0
ab	2	6	11	1	0	1	0	10	2	5	4	3	1	0	17	1	1	13	5	1	5	1	0	1	4
aba	2	11	10	3	1	0	1	25	3	16	6	7	6	7	51	5	1	39	0	2	18	6	1	3	7
abe	1	12	7	0	0	1	1	15	3	9	0	2	5	8	11	0	1	70	0	2	3	2	0	0	20
abo	1	3	0	0	0	0	2	1	0	7	0	1	9	2	5	0	0	8	1	3	1	1	0	0	0
ac	1	18	3	1	2	5	2	17	2	11	0	11	2	11	21	2	0	34	0	0	24	0	0	1	18
ach	10	53	1	21	21	14	0	46	11	36	9	22	13	79	85	0	13	278	0	6	98	9	3	2	37
aci	1	34	0	11	10	4	3	25	4	30	5	9	25	3	30	1	3	71	9	8	25	3	1	23	13
aco	3	24	0	4	1	9	3	29	4	34	1	17	54	38	47	10	2	86	2	0	17	12	6	0	56
ad	2	6	0	0	3	0	2	7	2	9	5	2	1	14	38	3	11	64	5	1	14	0	8	0	8
ade	2	10	16	0	2	0	0	29	5	4	1	1	10	6	7	3	5	39	0	5	5	3	0	0	7
adi	1	2	1	0	1	1	4	2	13	7	1	3	8	1	3	10	7	127	2	3	5	4	5	4	2
ado	1	8	1	0	3	1	2	9	1	15	4	8	5	8	18	3	10	38	4	3	14	2	1	1	7
ael	1	0	0	0	1	0	0	0	0	1	0	0	0	4	2	0	0	0	0	0	1	0	0	3	0
af	1	11	1	1	0	1	1	14	1	13	0	4	0	12	15	0	0	60	1	0	13	0	0	0	12
aff	1	0	0	1	0	0	0	0	1	0	0	1	19	5	0	2	1	0	1	1	0	0	0	0	0
afi	1	7	0	0	0	0	4	14	1	5	0	0	0	5	11	0	0	37	0	0	6	0	0	0	10
age	9	65	6	1	4	12	1	69	13	93	6	33	69	76	283	2	31	297	11	23	210	42	13	17	118
ai	7	39	16	6	1	25	1	56	11	56	6	49	0	55	105	7	1	165	0	12	75	1	6	7	52
ai 	10	125	29	15	16	23	5	169	49	131	8	87	6	92	184	56	14	234	0	10	108	57	25	10	93
aie	1	88	7	9	2	5	2	81	10	58	8	18	12	74	106	7	11	117	8	9	69	10	5	6	50
aig	3	66	18	3	36	10	2	119	19	1	7	12	36	51	150	35	14	206	5	7	77	16	1	5	95
ail	11	101	17	5	3	6	1	141	22	103	8	52	54	81	209	11	2	199	10	10	111	20	9	11	107
